STT,Blue team,Red team,BBan 1,BBan 2,BBan 3,BBan 4,B1,B2,B3,B4,B5,Rban 1,Rban 2,Rban 3,Rban 4,R1,R2,R3,R4,R5,Time,Win
1,FS,GJC,Annette,Elandorr,Qi,Florentino,Rouie,Hayate,Billow,Skud,Toro,Sinestria,Zata,Mganga,Marja,Y'bneth,Keera,Lorion,Wisp,Murad,11:58,FS
2,GJC,FS,Elandorr,Zata,Tachi,Keera,Sinestria,Elsu,Iggy,Thane,Marja,Rouie,Enzo,Skud,Maloch,Mganga,Stuart,Dolia,Taara,Zephys,18:42,FS
3,FS,GJC,Rouie,Zata,Kahlii,Dolia,Annette,Murad,Elsu,Aya,Rickter,Sinestria,Elandorr,Florentino,Marja,Capheny,Tachi,Qi,Taara,Yue,16:55,FS
4,SLX,BAC,Elandorr,Enzo,Teemee,Annette,Zata,Edras,Dolia,Fennik,Marja,Valhein,Stuart,Qi,Capheny,Hayate,Tachi,Murad,Mganga,Toro,12:50,SLX
5,SLX,BAC,Zata,Marja,Florentino,Edras,Yb'neth,Billow,Valhein,Biron,Natalya,Sinestria,Tachi,Mganga,Iggy,Enzo,Wisp,Lorion,Skud,Elandorr,18:45,BAC
6,BAC,SLX,Murad,Lorion,Enzo,Ignis,Rouie,Marja,Yb'neth,Elsu,Airi,Zata,Sinestria,Florentino,Keera,Tachi,Stuart,Qi,Heino,Teemee,17:16,BAC
7,SLX,BAC,Zata,Valhein,Aya,Dolia,Iggy,Elsu,Zephys,Florentino,Annette,Sinestria,Rouie,Skud,Toro,Capheny,Keera,Taara,Teemee,Tulen,14:48,SLX
8,SLX,BAC,Zata,Valhein,Stuart,Maloch,Lorion,Elandorr,Toro,Airi,Volkath,Rouie,Sinestria,Skud,Murad,Iggy,Billow,Dolia,Erin,Rickter,10:00,SLX
9,BRU,EA,Billow,Enzo,Florentino,Elandorr,Tachi,Capheny,Annette,Murad,Thane,Sinestria,Valhein,Teemee,Toro,Dolia,Zata,Elsu,Biron,Veres,24:33,BRU
10,EA,BRU,Zata,Valhein,Yue,Lorion,Elandorr,Yb'neth,Iggy,Tachi,Skud,Rouie,Sinestria,Marja,Florentino,Elsu,Zephys,Gildur,Ignis,Edras,20:23,BRU
11,BRU,EA,Billow,Lorion,Enzo,Krizzix,Sinestria,Marja,Mganga,Hayate,Dolia,Zata,Rouie,Toro,Yb'neth,Stuart,Keera,Qi,Teemee,Yue,12:10,BRU
